iter	RMSE
0	38.93323376
1	37.61933958
2	36.09791966
3	35.04029405
4	33.85863404
5	32.68594919
6	31.51818977
7	30.46186758
8	29.43268169
9	28.72287492
10	27.77452374
11	26.95828658
12	25.90644818
13	25.17805448
14	24.47024273
15	23.77419976
16	23.04113803
17	22.52711436
18	21.83833074
19	21.2816555
20	20.76275425
21	20.218129
22	19.77730818
23	19.25585069
24	18.93946932
25	18.30550425
26	17.83115644
27	17.33981048
28	16.74723954
29	16.26382662
30	15.90864123
31	15.56705022
32	15.17768243
33	14.92509028
34	14.6635576
35	14.34054085
36	14.00638339
37	13.81429182
38	13.58779934
39	13.25085191
40	13.05159453
41	12.78413116
42	12.36221515
43	12.18711861
44	11.96460935
45	11.65290511
46	11.40523484
47	11.09670456
48	10.80013218
49	10.57584804
50	10.29662397
51	10.03671477
52	9.835761188
53	9.646165089
54	9.356147131
55	9.155948406
56	8.903919169
57	8.677047834
58	8.475412478
59	8.297821315
60	8.073000361
61	7.835859595
62	7.673437759
63	7.521286961
64	7.295186005
65	7.098788796
66	6.90980624
67	6.763602895
68	6.537607697
69	6.369757023
70	6.275128451
71	6.094270157
72	5.933529689
73	5.841929968
74	5.725674425
75	5.558799305
76	5.516136841
77	5.484053269
78	5.370776826
79	5.260597151
80	5.147249256
81	5.052435936
82	4.940507995
83	4.917092478
84	4.887466735
85	4.861609064
86	4.840929937
87	4.687705978
88	4.543380239
89	4.479626859
90	4.347931202
91	4.289316126
92	4.210427207
93	4.173532501
94	4.149950078
95	4.126494052
96	3.993149032
97	3.974380256
98	3.882744862
99	3.823174323
100	3.802586426
101	3.748187664
102	3.675315346
103	3.596303388
104	3.522994337
105	3.471378002
106	3.432345671
107	3.325649548
108	3.26126807
109	3.215552882
110	3.12763478
111	3.043933945
112	3.006344522
113	2.983327355
114	2.922852151
115	2.877733836
116	2.833527592
117	2.806352278
118	2.736607189
119	2.673615202
120	2.614760201
121	2.558556769
122	2.522991751
123	2.4518659
124	2.42132273
125	2.376488852
126	2.325626623
127	2.280932824
128	2.249919826
129	2.202719767
130	2.143646335
131	2.092835784
132	2.053179041
133	2.00030986
134	1.97512767
135	1.932201953
136	1.876488024
137	1.834511671
138	1.788049733
139	1.753892921
140	1.707344152
141	1.667422226
142	1.646329585
143	1.638597251
144	1.608880131
145	1.602717256
146	1.583009311
147	1.553909647
148	1.525690878
149	1.499551629
150	1.463362652
151	1.43954161
152	1.415933059
153	1.381500085
154	1.368355499
155	1.338746073
156	1.314311308
157	1.292162054
158	1.269505655
159	1.253610062
160	1.234778434
161	1.209692055
162	1.200852142
163	1.18036034
164	1.174119532
165	1.151013997
166	1.145071683
167	1.124344276
168	1.099656686
169	1.094046404
170	1.068759885
171	1.0600467
172	1.045497985
173	1.02887277
174	1.01104415
175	1.002365041
176	0.9843683403
177	0.9611859468
178	0.931145245
179	0.9154203134
180	0.8998295331
181	0.8826187893
182	0.8607519977
183	0.8469583524
184	0.8439499628
185	0.827899849
186	0.8111512678
187	0.7965282669
188	0.7830942501
189	0.7659129034
190	0.7564524338
191	0.7484868828
192	0.7301019226
193	0.7211629652
194	0.7141959019
195	0.7110590266
196	0.6968392452
197	0.6820970668
198	0.6669964389
199	0.6546614615
