iter	Passed	Remaining
0	113	11224
1	154	7586
2	191	6180
3	232	5588
4	269	5127
5	311	4881
6	379	5042
7	446	5130
8	489	4950
9	527	4751
10	568	4597
11	616	4522
12	640	4286
13	689	4238
14	736	4173
15	749	3934
16	787	3846
17	836	3811
18	892	3806
19	938	3754
20	980	3688
21	1031	3656
22	1088	3642
23	1145	3627
24	1189	3567
25	1227	3492
26	1265	3420
27	1313	3377
28	1377	3373
29	1423	3322
30	1461	3252
31	1498	3184
32	1571	3190
33	1624	3152
34	1680	3120
35	1728	3073
36	1755	2989
37	1804	2943
38	1856	2904
39	1903	2855
40	1951	2808
41	2000	2762
42	2053	2722
43	2081	2648
44	2127	2600
45	2165	2541
46	2224	2508
47	2277	2467
48	2326	2421
49	2371	2371
50	2434	2339
51	2483	2292
52	2538	2251
53	2613	2226
54	2681	2193
55	2701	2122
56	2752	2076
57	2807	2033
58	2862	1989
59	2930	1953
60	2989	1911
61	3030	1857
62	3077	1807
63	3130	1760
64	3171	1707
65	3209	1653
66	3248	1600
67	3255	1531
68	3293	1479
69	3345	1433
70	3392	1385
71	3394	1320
72	3439	1272
73	3488	1225
74	3555	1185
75	3599	1136
76	3639	1087
77	3678	1037
78	3718	988
79	3755	938
80	3826	897
81	3874	850
82	3916	802
83	3956	753
84	3997	705
85	4013	653
86	4068	607
87	4108	560
88	4147	512
89	4188	465
90	4228	418
91	4289	373
92	4423	332
93	4513	288
94	4568	240
95	4640	193
96	4670	144
97	4737	96
98	4827	48
99	4900	0
