fecha,indicativo,glo,hr,tm_min,ta_max,ts_min,nt_30,ta_min,e,nt_00,ti_max,tm_mes,tm_max,p_max,nw_55,w_racha,np_100,nw_91,np_001,w_rec,np_300,p_mes,w_med,np_010
2007-1,3194U,20938.0,,,,,,,,,,,,,,,,,,,,,,
2007-2,3194U,25655.0,67.0,4.8,20.6(16),9.4,0.0,-1.5(01),79.0,2.0,7.9,9.3,13.7,,,,,,,,,,,
2007-3,3194U,51782.0,54.0,3.4,21.2(18),7.7,0.0,-1.3(25),66.0,1.0,9.5,9.7,15.9,7.3(06),4.0,02/22.8(22),0.0,0.0,5.0,171.0,0.0,21.7,7.0,4.0
2007-4,3194U,50001.0,,,,,,,,,,,,,,,,,,,,,,
2007-5,3194U,67908.0,,,,,,,,,,,,,,,,,,,,,,
2007-6,3194U,79205.0,48.0,13.4,34.4(30),18.7,8.0,9.0(01),125.0,0.0,20.1,20.5,27.7,6.6(09),0.0,24/13.3(15),0.0,0.0,4.0,154.0,0.0,12.5,7.0,3.0
2007-7,3194U,88507.0,,,,,,,,,,,,,,,,,,,,,,
2007-8,3194U,75035.0,,,,,,,139.0,,,,,11.0(05),,,1.0,,4.0,,0.0,20.4,,2.0
2007-9,3194U,56525.0,49.0,15.0,34.2(03),18.6,12.0,6.8(27),133.0,0.0,19.8,21.8,28.6,3.7(21),0.0,26/13.3(17),0.0,0.0,6.0,142.0,0.0,5.7,5.0,1.0
2007-10,3194U,41872.0,57.0,9.0,25.4(06),14.9,0.0,2.6(26),98.0,0.0,15.4,15.2,21.4,16.0(04),1.0,23/15.6(18),1.0,0.0,6.0,112.0,0.0,30.8,4.0,3.0
2007-11,3194U,30440.0,56.0,1.0,22.4(12),6.1,0.0,-5.1(17),62.0,9.0,7.4,8.8,16.6,27.8(20),0.0,16/13.6(14),2.0,0.0,2.0,92.0,0.0,44.2,3.0,2.0
2007-12,3194U,22409.0,,,,,,,,,,,,,,,,,,,,,,
