fecha,indicativo,glo,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010
2008-1,3194U,23515.0,,,,,,,,,,,,,,,,,,,,,,
2008-2,3194U,26856.0,,,,,,,,,,,,,,,,,,,,,,
2008-3,3194U,53449.0,,,,,,,,,,,,,,,,,,,,,,
2008-4,3194U,58823.0,,,,,,,,,,,,,,,,,,,,,,
2008-5,3194U,58648.0,17.2(08),61.0,1.0,9.3,27.3(04),14.1,0.0,22/15.8(31),2.0,0.0,18.0,3.5(01),151.0,109.0,0.0,58.3,7.0,0.0,11.9,14.8,20.3,10.0
2008-6,3194U,76077.0,13.7(23),47.0,1.0,14.5,37.0(29),22.1,14.0,23/18.3(23),2.0,0.0,6.0,9.2(06),191.0,127.0,0.0,31.6,8.0,0.0,15.7,21.4,28.3,4.0
2008-7,3194U,89005.0,0.2(15),41.0,1.0,16.5,38.0(23),21.6,25.0,27/16.4(12),0.0,0.0,1.0,10.3(08),166.0,140.0,0.0,0.2,8.0,0.0,27.5,24.6,32.7,0.0
2008-8,3194U,78882.0,0.7(16),45.0,1.0,16.9,39.1(04),21.9,25.0,24/15.8(11),0.0,0.0,1.0,11.7(15),162.0,152.0,0.0,0.7,7.0,0.0,27.1,24.8,32.8,0.0
2008-9,3194U,56100.0,7.4(05),52.0,2.0,12.5,30.7(16),16.9,3.0,27/17.2(05),0.0,0.0,5.0,6.8(13),165.0,117.0,0.0,12.5,6.0,0.0,18.3,19.1,25.6,3.0
2008-10,3194U,35833.0,,,,,,,,,,,,,,100.0,,,7.0,,,,,
2008-11,3194U,27928.0,,,,,,,,,,,,,,,,,,,,,,
2008-12,3194U,19027.0,,,,,,,,,,,,,,,,,,,,,,
