fecha,indicativo,p_max,glo,tm_min,ta_max,ts_min,nt_30,np_100,np_001,ta_min,e,np_300,p_mes,nt_00,ti_max,tm_mes,tm_max,np_010,hr,w_med,nw_55,w_racha,nw_91,w_rec
2010-1,3194U,9.4(13),19574.0,1.9,14.5(18),7.9,0.0,0.0,16.0,-5.2(10),66.0,0.0,55.2,8.0,1.0,5.4,8.8,9.0,,,,,,
2010-2,3194U,22.5(16),26203.0,2.2,18.9(27),8.3,0.0,3.0,15.0,-5.9(14),66.0,0.0,99.7,8.0,2.3,6.3,10.3,12.0,68.0,,,,,
2010-3,3194U,28.1(05),43283.0,3.5,19.7(22),10.5,0.0,1.0,10.0,-3.4(11),67.0,0.0,49.6,6.0,4.6,8.6,13.7,7.0,59.0,,,,,
2010-4,3194U,,59537.0,,,,,,,,,,,,,,,,,2.0,,,,
2010-5,3194U,12.6(08),75218.0,8.9,33.4(31),15.6,2.0,1.0,5.0,1.5(06),95.0,0.0,21.7,0.0,12.7,15.6,22.2,3.0,50.0,8.0,1.0,26/15.3(10),0.0,180.0
2010-6,3194U,15.6(25),73390.0,13.5,34.0(24),18.1,13.0,1.0,10.0,7.5(16),121.0,0.0,50.9,0.0,15.5,20.2,26.9,9.0,48.0,7.0,0.0,31/14.7(09),0.0,181.0
2010-7,3194U,5.9(02),87028.0,19.1,38.5(29),24.8,30.0,0.0,3.0,13.5(16),150.0,0.0,9.9,0.0,28.8,27.1,35.0,2.0,39.0,7.0,0.0,12/14.2(26),0.0,168.0
2010-8,3194U,1.4(19),75354.0,17.5,37.0(11),21.4,26.0,0.0,2.0,13.6(14),142.0,0.0,2.0,0.0,27.3,25.4,33.3,1.0,42.0,7.0,2.0,10/15.3(12),0.0,166.0
2010-9,3194U,,54998.0,,,,,,,,119.0,,,,,,,,,5.0,,,,
2010-10,3194U,22.3(09),41475.0,,,,,1.0,7.0,,85.0,0.0,49.4,,,,,5.0,,5.0,,,,
2010-11,3194U,8.9(08),24713.0,3.4,22.9(03),7.8,0.0,0.0,11.0,-3.4(29),72.0,0.0,27.8,5.0,3.1,8.5,13.5,6.0,66.0,6.0,,,,
2010-12,3194U,,19534.0,,,,,,,,67.0,,,,,,,,,4.0,,,,
