fecha,indicativo,glo,hr,w_rec,e,w_med,p_max,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,np_300,p_mes,nt_00,ti_max,tm_mes,tm_max,np_010
2011-1,3194U,22410.0,71.0,119.0,68.0,4.0,,,,,,,,,,,,,,,,,,
2011-2,3194U,33531.0,61.0,146.0,62.0,6.0,8.3(19),5.0,1.4,22.2(26),8.6,0.0,32/22.5(21),0.0,0.0,9.0,-4.2(01),0.0,22.6,12.0,7.3,8.0,14.6,3.0
2011-3,3194U,39130.0,,,72.0,7.0,,,,,,,,,,,,,,,,,,
2011-4,3194U,60898.0,,,95.0,7.0,,,,,,,,,,,,,,,,,,
2011-5,3194U,75074.0,50.0,166.0,110.0,7.0,29.8(01),0.0,11.5,30.8(25),16.6,2.0,10/15.0(31),1.0,0.0,13.0,5.9(15),0.0,59.8,0.0,17.2,18.0,24.3,8.0
2011-6,3194U,83993.0,42.0,163.0,122.0,8.0,8.8(06),0.0,14.1,37.6(27),23.8,19.0,99/14.2(22),0.0,0.0,3.0,8.3(01),0.0,20.6,0.0,18.4,22.2,30.2,3.0
2011-7,3194U,88680.0,,,,,,,,,,,,,,,,,,,,,,
2011-8,3194U,76424.0,41.0,153.0,138.0,7.0,8.2(12),1.0,16.6,38.4(20),22.2,25.0,99/17.2(21),0.0,0.0,5.0,7.9(27),0.0,9.3,0.0,26.2,24.9,33.1,1.0
2011-9,3194U,61368.0,,,,,,,,,,,,,,,,,,,,,,
2011-10,3194U,45343.0,54.0,128.0,98.0,4.0,4.2(24),0.0,8.8,30.9(13),14.0,5.0,12/14.7(19),0.0,0.0,2.0,4.4(21),0.0,8.3,0.0,15.2,16.7,24.5,2.0
2011-11,3194U,20494.0,71.0,,89.0,3.0,16.0(19),,6.2,20.5(12),12.2,0.0,,2.0,,11.0,0.0(29),0.0,43.5,1.0,10.6,10.6,14.9,7.0
2011-12,3194U,23661.0,68.0,91.0,64.0,4.0,2.4(10),1.0,0.8,17.0(05),5.9,0.0,32/18.6(16),0.0,0.0,5.0,-3.2(19),0.0,6.0,15.0,4.7,6.5,12.1,3.0
