fecha,indicativo,glo,e,w_med,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,np_300,p_mes,nt_00,ti_max,tm_mes,tm_max,np_010
2012-1,3194U,29129.0,56.0,5.0,,,,,,,,,,,,,,,,,,,,
2012-2,3194U,40813.0,42.0,8.0,4.5(01),47.0,6.0,-2.5,22.0(26),3.7,0.0,11/20.0(04),0.0,0.0,2.0,-8.7(12),171.0,0.0,4.6,23.0,4.8,5.3,13.1,1.0
2012-3,3194U,55371.0,,,,,,,,,,,,,,,,,,,,,,
2012-4,3194U,51192.0,,,,,,,,,,,,,,,,,,,,,,
2012-5,3194U,77065.0,100.0,7.0,3.4(05),43.0,0.0,11.0,34.2(13),16.9,11.0,30/14.7(21),0.0,0.0,4.0,3.4(01),157.0,0.0,9.2,0.0,12.7,18.7,26.4,3.0
2012-6,3194U,84285.0,124.0,9.0,0.3(18),39.0,3.0,15.8,38.6(26),23.3,18.0,33/16.1(11),0.0,0.0,2.0,9.4(09),184.0,0.0,0.5,0.0,24.7,23.6,31.3,0.0
2012-7,3194U,92606.0,,,,,,,,,,,,,,,,,,,,,,
2012-8,3194U,79235.0,,,,,,,,,,,,,,,,,,,,,,
2012-9,3194U,57087.0,118.0,7.0,,49.0,3.0,13.4,33.4(16),18.6,10.0,26/18.6(25),,0.0,,6.7(30),196.0,,,0.0,15.4,20.1,26.8,
2012-10,3194U,39183.0,,4.0,,,,,,,,,,,,,,,,,,,,
2012-11,3194U,21485.0,82.0,7.0,20.2(03),71.0,1.0,5.0,16.1(19),10.5,0.0,88/17.8(28),3.0,0.0,12.0,-1.5(28),170.0,0.0,65.4,1.0,7.8,8.8,12.6,7.0
2012-12,3194U,19596.0,68.0,5.0,2.0(14),73.0,1.0,1.2,14.5(23),8.6,0.0,88/16.7(14),0.0,0.0,12.0,-4.8(02),94.0,0.0,8.4,15.0,3.5,5.7,10.1,4.0
