fecha,indicativo,p_max,glo,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010
2014-1,3194U,10.3(21),19259.0,67.0,4.0,3.7,17.4(25),9.6,0.0,88/19.2(28),1.0,0.0,15.0,-0.8(21),150.0,70.0,0.0,61.4,6.0,3.0,6.7,7.6,11.4,12.0
2014-2,3194U,15.7(09),25661.0,63.0,7.0,2.7,17.1(13),8.8,0.0,88/21.4(10),1.0,0.0,16.0,-2.1(03),161.0,64.0,0.0,45.0,7.0,5.0,4.4,7.0,11.3,10.0
2014-3,3194U,18.3(29),49688.0,50.0,6.0,4.1,24.0(18),9.6,0.0,88/19.7(03),1.0,0.0,6.0,-1.2(27),123.0,63.0,0.0,24.2,2.0,3.0,11.5,10.4,16.8,3.0
2014-4,3194U,9.9(20),65198.0,49.0,,8.6,29.2(18),12.3,0.0,,0.0,,7.0,5.1(25),,87.0,0.0,25.5,,0.0,13.6,15.6,22.6,4.0
2014-5,3194U,5.0(28),80125.0,40.0,,10.3,31.9(10),16.2,3.0,,0.0,,7.0,4.7(04),,85.0,0.0,19.2,0.0,0.0,16.8,17.5,24.7,5.0
2014-6,3194U,6.6(11),84154.0,36.0,,14.1,34.5(14),19.5,14.0,,0.0,,6.0,8.7(02),,102.0,0.0,9.4,,0.0,20.0,21.8,29.4,1.0
2014-7,3194U,2.0(02),88049.0,35.0,,16.4,38.1(16),22.1,20.0,,0.0,,2.0,11.8(04),,117.0,0.0,3.3,,0.0,22.4,24.2,32.0,2.0
2014-8,3194U,0.0(--),80942.0,40.0,,17.3,36.3(06),21.1,28.0,,0.0,,0.0,13.5(23),,136.0,0.0,0.0,,0.0,28.6,25.1,32.9,0.0
2014-9,3194U,,54654.0,,,,,,,,,,,,,,,,,,,,,
2014-10,3194U,,38791.0,,,,,,,,,,,,,106.0,,,0.0,,,,,
2014-11,3194U,,23600.0,,,,,,,,,,,,,86.0,,,,,,,,
2014-12,3194U,,24927.0,,,,,,,,,,,,,58.0,,,,,,,,
