fecha,indicativo,glo,hr,tm_min,ta_max,ts_min,nt_30,ta_min,e,nt_00,ti_max,tm_mes,tm_max,p_max,np_100,np_001,np_300,p_mes,np_010,w_med,nw_55,w_racha,nw_91,w_rec
2015-1,3194U,28169.0,58.0,-0.9,17.5(30),9.5,0.0,-4.5(24),51.0,22.0,3.3,5.6,12.1,,,,,,,,,,,
2015-2,3194U,30449.0,54.0,1.9,17.2(28),6.5,0.0,-3.6(08),53.0,8.0,3.3,6.7,11.4,6.3(16),0.0,6.0,0.0,18.5,5.0,,,,,
2015-3,3194U,48416.0,,,,,,,62.0,,,,,13.5(23),1.0,6.0,0.0,34.7,6.0,,,,,
2015-4,3194U,60779.0,,7.8,24.2(03),11.2,0.0,3.6(02),75.0,0.0,10.9,14.1,20.5,12.3(15),2.0,5.0,0.0,34.9,4.0,,,,,
2015-5,3194U,82216.0,,,,,,,,,,,,,,,,,,,,,,
2015-6,3194U,83148.0,,,,,,,,,,,,,,,,,,7.0,,,,
2015-7,3194U,87833.0,31.0,20.8,40.7(06),24.9,28.0,18.2(10),134.0,0.0,31.5,29.0,37.1,,,,,,,8.0,0.0,28/13.6(07),0.0,175.0
2015-8,3194U,75364.0,38.0,17.7,37.9(06),21.6,25.0,11.1(25),126.0,0.0,25.7,25.3,32.9,6.4(22),0.0,4.0,0.0,16.1,3.0,7.0,2.0,24/21.1(30),0.0,170.0
2015-9,3194U,55985.0,41.0,12.7,30.9(01),18.4,7.0,6.7(18),94.0,0.0,19.5,19.9,27.0,3.3(16),0.0,3.0,0.0,3.9,1.0,6.0,1.0,23/18.9(16),0.0,148.0
2015-10,3194U,36024.0,57.0,9.7,26.9(01),15.8,0.0,3.3(15),97.0,0.0,15.4,15.2,20.7,,,,,,,5.0,0.0,23/14.2(05),0.0,129.0
2015-11,3194U,28244.0,59.0,4.9,22.9(07),13.6,0.0,-2.2(29),78.0,4.0,9.1,11.4,17.8,7.8(01),0.0,5.0,0.0,13.6,2.0,4.0,1.0,26/16.9(21),0.0,100.0
2015-12,3194U,21162.0,63.0,2.8,18.4(05),7.4,0.0,-2.8(01),67.0,4.0,8.6,8.6,14.3,2.0(28),0.0,3.0,0.0,2.2,1.0,3.0,0.0,10/8.6(09),0.0,68.0
